Model,MSO2024B
Firmware Version,1.56

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,130200
Sample Interval,260.4
Filter Frequency,2e+08
Record Length,5000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,NONE
Vertical Offset,0
Vertical Scale,20
Label,
TIME,MATH
1.1588e+05,-61.0719
1.1614e+05,-61.0719
1.1640e+05,-58.0625
1.1666e+05,-55.0531
1.1692e+05,-56.075
1.1718e+05,-57.0938
1.1744e+05,-59.0844
1.1770e+05,-61.0719
1.1796e+05,-58.0625
1.1822e+05,-55.0531
1.1848e+05,-58.0625
1.1874e+05,-61.0719
1.1900e+05,-61.0719
1.1926e+05,-61.0719
1.1952e+05,-61.0719
1.1978e+05,-61.0719
1.2004e+05,-59.0844
1.2030e+05,-57.0938
1.2057e+05,-55.0187
1.2083e+05,-52.9438
1.2109e+05,-55.0187
1.2135e+05,-57.0938
1.2161e+05,-59.0844
1.2187e+05,-61.0719
1.2213e+05,-61.0719
1.2239e+05,-61.0719
1.2265e+05,-61.0719
1.2291e+05,-61.0719
1.2317e+05,-58.0625
1.2343e+05,-55.0531
1.2369e+05,-59.5688
1.2395e+05,-64.0812
1.2421e+05,-59.5688
1.2447e+05,-55.0531
1.2473e+05,-56.075
1.2499e+05,-57.0938
1.2525e+05,-57.0938
1.2551e+05,-57.0938
1.2577e+05,-57.0938
1.2603e+05,-57.0938
1.2629e+05,-59.0844
1.2655e+05,-61.0719
1.2681e+05,-61.0719
1.2708e+05,-61.0719
1.2734e+05,-59.0844
1.2760e+05,-57.0938
1.2786e+05,-55.5875
1.2812e+05,-54.0812
1.2838e+05,-57.5781
1.2864e+05,-61.0719
1.2890e+05,-58.0625
1.2916e+05,-55.0531
1.2942e+05,-58.0625
1.2968e+05,-61.0719
1.2994e+05,-61.0719
1.3020e+05,-61.0719
1.3046e+05,-61.0719
1.3072e+05,-61.0719
1.3098e+05,-58.0625
1.3124e+05,-55.0531
1.3150e+05,-58.0625
1.3176e+05,-61.0719
1.3202e+05,-57.0094
1.3228e+05,-52.9438
1.3254e+05,-57.0094
1.3280e+05,-61.0719
1.3306e+05,-61.0719
1.3332e+05,-61.0719
1.3359e+05,-58.0625
1.3385e+05,-55.0531
1.3411e+05,-56.075
1.3437e+05,-57.0938
1.3463e+05,-57.5781
1.3489e+05,-58.0625
1.3515e+05,-55.5031
1.3541e+05,-52.9438
